zone_id,cx,cy,cz,gp1,gp2,gp3,gp4,gp5,gp6,gp7,gp8
293,571.530990419,-363.227189022,455.719777524,21500,9913,10061,9945,,,,
294,1386.39644864,-729.539680579,406.927314756,30454,3805,29621,3834,,,,
295,1170.14210655,-119.007154915,577.890030088,21349,5425,21235,21466,,,,
296,1584.93489833,-798.550602215,453.801221754,30683,1913,1903,29469,,,,
297,915.462658347,-1577.24129484,350.364233184,15808,7574,7602,7276,,,,
298,1000.28399753,-1429.90202502,22.5649741007,6891,16375,6820,16376,,,,
299,525.825271928,-1426.23815159,180.776975305,16777,10592,10530,10156,,,,
300,723.003250593,-1001.17624264,148.230757756,17995,8744,9022,8889,,,,
301,125.461298807,-1243.06361416,536.84403507,24805,24869,21027,24868,,,,
302,52.4105259688,-1495.50100996,520.960802404,13985,20532,14086,14092,,,,
303,157.772255949,-1471.69636955,531.874601689,20394,13599,13629,13495,,,,
304,481.769264019,-1235.18747238,537.684165026,10659,18217,10730,10854,,,,
305,408.61819248,-1214.09497237,531.647010722,18933,30005,11411,11339,,,,
306,522.005310699,-1298.92233214,435.408476825,17435,10343,10264,10481,,,,
307,705.958007218,-1604.43938014,107.314125992,9077,8781,9194,8833,,,,
308,561.476097077,-830.015873375,297.650719656,30545,20677,20514,22432,,,,
309,869.892004007,-786.236492532,277.540586728,19258,7723,7798,7913,,,,
310,1302.91524689,-1376.97064658,441.398125997,15227,4347,4501,15089,,,,
311,1369.8369859,-1301.75962332,350.541781788,30000,15386,15456,15467,,,,
312,1164.84813405,-1422.7617792,211.838982758,16027,15944,5430,15940,,,,
313,1398.31805479,-1405.11115249,418.76834043,15031,3684,15029,14985,,,,
314,928.547523756,-1463.5957907,102.560540457,16522,7521,7562,16350,,,,
315,557.48039672,-498.525396233,373.07417622,10097,21144,10070,10098,,,,
316,567.382579569,-293.817868851,494.513622636,25250,21741,21684,21801,,,,
317,1202.12838261,-1420.70946557,487.906700677,5261,5084,5214,5202,,,,
318,732.920443986,-1245.8306174,467.146883345,18051,8699,8698,8873,,,,
319,802.587741758,-1513.64518875,196.17970626,15974,8372,8173,8441,,,,
320,859.955938689,-1414.125641,199.482609296,16482,16621,7679,16623,,,,
321,921.125191881,-1517.27278563,98.8068557333,16319,16350,7413,16318,,,,
322,1604.14026055,-1586.3945601,227.647542547,1524,2086,1863,1608,,,,
323,1180.38215822,-1324.59088648,395.200528207,15516,5374,5220,5390,,,,
324,1108.63683993,-1229.51570313,334.891956717,16241,5926,5881,16106,,,,
325,1663.94151994,-1386.68267075,449.808585253,1344,14972,15011,1277,,,,
326,1762.830767,-199.280322982,519.610586774,24298,23810,19343,29792,,,,
327,51.8987511363,-1422.52721263,504.439790771,24520,30266,30191,20701,,,,
328,516.765702649,-1151.27818669,505.931597035,30136,10432,10551,10353,,,,
329,23.7266465044,-1430.18727304,418.044909381,19694,14777,19697,19918,,,,
330,275.542282918,-717.447459766,418.324944422,22460,21507,12528,21161,,,,
331,338.729942049,-674.348089586,355.785221478,20814,30100,12069,20804,,,,
332,534.348087496,-1119.06640848,363.971678938,18890,10401,10431,10169,,,,
333,1619.90037706,-794.709753752,465.486080979,16901,17225,1653,1610,,,,
334,1592.57568125,-809.361167605,454.212190212,29469,1858,1862,1860,,,,
335,1438.20800781,-720.40625,439.350524902,3225,3254,3195,3243,,,,
336,1673.76429851,-1380.47194869,459.507293056,15011,1344,1167,14974,,,,
337,933.652774544,-1058.20115427,61.2172537532,17507,7424,7230,17492,,,,
338,1109.08510713,-1367.87239755,442.471629511,15667,5927,5928,5730,,,,
339,1249.63324551,-1348.08081788,280.513405502,15828,4887,4892,15754,,,,
340,849.489015851,-1358.27831283,490.404338898,30612,7975,7973,7937,,,,
341,1717.76280005,-1599.54740955,466.08632836,15186,1058,956,15017,,,,
342,1174.44795444,-1492.07942338,525.195466223,15309,15377,5395,15376,,,,
343,130.298946791,-819.999959979,527.093425236,21026,13694,13614,13730,,,,
344,687.282065672,-154.358817795,589.83203712,21766,9195,9044,9030,,,,
345,342.285939768,-464.091382084,552.016845675,12023,25243,12096,29989,,,,
346,974.805394564,-1236.42783358,355.833751272,7105,17002,6990,7106,,,,
347,283.292041876,-1059.7643691,298.233587603,19379,12400,12494,19380,,,,
348,1163.57540103,-1157.5807072,281.49411654,26190,22947,22124,26191,,,,
349,866.689379226,-593.157596222,286.549160225,19500,7914,7932,7701,,,,
350,579.585354869,-31.9800348041,420.353253621,20759,9909,20598,20597,,,,
351,686.687025325,-373.615945657,400.155454113,22469,21376,9192,9018,,,,
352,1126.63837544,-231.601011845,593.609746729,30229,5685,5684,5843,,,,
353,861.261576556,-614.198566098,271.859203801,19500,7914,7785,19248,,,,
354,203.099588602,-631.004932388,542.939347246,21591,13244,13245,13147,,,,
355,1445.12333817,-616.136910965,430.748790567,3113,25815,19043,19298,,,,
356,1795.7399646,-1447.01831919,503.833151057,473,14978,648,30613,,,,
357,10.514532843,-510.982968257,342.284196218,20935,14452,14439,14454,,,,
358,456.974290858,-433.319610383,486.789148,21740,11031,10829,21739,,,,
359,219.858067464,-1562.33359839,386.738709692,23744,18446,18212,23832,,,,
360,292.097945634,-723.626289735,429.998283594,29977,12377,12403,12378,,,,
361,445.909159988,-1194.45872125,454.577059938,23749,18219,18010,30189,,,,
